package,old,new,delta
docxtools,0.2.2,0.3.0,*
cli,3.4.1,3.4.1,
colorspace,2.0-3,2.0-3,
cpp11,0.4.3,0.4.3,
dplyr,1.0.10,1.0.10,
ellipsis,0.3.2,0.3.2,
fansi,1.0.3,1.0.3,
farver,2.1.1,2.1.1,
generics,0.1.3,0.1.3,
ggplot2,3.4.0,3.4.0,
glue,1.6.2,1.6.2,
gtable,0.3.1,0.3.1,
isoband,0.2.6,0.2.6,
labeling,0.4.2,0.4.2,
lifecycle,1.0.3,1.0.3,
lubridate,1.9.0,1.9.0,
magrittr,2.0.3,2.0.3,
munsell,0.5.0,0.5.0,
pillar,1.8.1,1.8.1,
pkgconfig,2.0.3,2.0.3,
purrr,0.3.5,0.3.5,
R6,2.5.1,2.5.1,
RColorBrewer,1.1-3,1.1-3,
rlang,1.0.6,1.0.6,
scales,1.2.1,1.2.1,
stringi,1.7.8,1.7.8,
stringr,1.4.1,1.4.1,
tibble,3.1.8,3.1.8,
tidyr,1.2.1,1.2.1,
tidyselect,1.2.0,1.2.0,
timechange,0.1.1,0.1.1,
utf8,1.2.2,1.2.2,
vctrs,0.5.0,0.5.0,
viridisLite,0.4.1,0.4.1,
withr,2.5.0,2.5.0,
